paradigm                                               NVFP4       groupwise            Q8_0
add_new_suffix                                        100.0%          100.0%          100.0%
add_verb_prefix                                       100.0%          100.0%          100.0%
adposition_government                                 100.0%          100.0%          100.0%
anaphor_agreement_gender                               95.0%           95.0%           95.0%
anaphor_agreement_number                              100.0%          100.0%          100.0%
change_declension_ending                               90.0%           90.0%           95.0%
change_declension_ending_has_dep                      100.0%          100.0%          100.0%
change_duration_aspect                                 75.0%           75.0%           75.0%
change_repetition_aspect                              100.0%          100.0%          100.0%
change_verb_conjugation                               100.0%          100.0%          100.0%
change_verb_prefixes_order                            100.0%          100.0%          100.0%
clause_subj_predicate_agreement_gender                 95.0%          100.0%          100.0%
clause_subj_predicate_agreement_number                 95.0%           95.0%           95.0%
clause_subj_predicate_agreement_person                100.0%          100.0%          100.0%
conj_verb_tense                                       100.0%          100.0%          100.0%
deontic_imperative_aspect                             100.0%          100.0%          100.0%
external_possessor                                     55.0%           50.0%           50.0%
floating_quantifier_agreement_case                     90.0%           85.0%           85.0%
floating_quantifier_agreement_gender                   85.0%           90.0%           90.0%
floating_quantifier_agreement_number                   95.0%          100.0%          100.0%
genitive_subj_predicate_agreement_gender               95.0%           95.0%           95.0%
genitive_subj_predicate_agreement_number               95.0%           95.0%           95.0%
genitive_subj_predicate_agreement_person               95.0%           95.0%           95.0%
indefinite_pronoun_to_negative                         95.0%           95.0%          100.0%
negative_concord                                      100.0%          100.0%          100.0%
negative_pronoun_to_indefinite                         95.0%           95.0%           95.0%
nominalization_case                                    90.0%          100.0%          100.0%
noun_subj_predicate_agreement_gender                  100.0%          100.0%          100.0%
noun_subj_predicate_agreement_number                   95.0%           95.0%          100.0%
noun_subj_predicate_agreement_person                   95.0%           90.0%           90.0%
np_agreement_case                                     100.0%          100.0%          100.0%
np_agreement_gender                                   100.0%          100.0%          100.0%
np_agreement_number                                   100.0%          100.0%          100.0%
single_verb_tense                                      95.0%           90.0%           95.0%
subj_predicate_agreement_gender_attractor             100.0%           95.0%           95.0%
subj_predicate_agreement_number_attractor             100.0%           95.0%           95.0%
tense_marker                                           95.0%           95.0%           95.0%
transitive_verb                                       100.0%           95.0%           95.0%
transitive_verb_iobject                                95.0%          100.0%           95.0%
transitive_verb_object                                 75.0%           65.0%           70.0%
transitive_verb_passive                                95.0%           95.0%           95.0%
transitive_verb_subject                               100.0%           95.0%          100.0%
verb_acc_object                                        95.0%           95.0%           95.0%
verb_gen_object                                       100.0%           95.0%           95.0%
verb_ins_object                                       100.0%          100.0%          100.0%
--------------------------------------------------------------------------------------------
OVERALL                                                95.1%           94.6%           95.1%

пар в общем подмножестве: 900
